id,name,movies_number,market_share
1,Adventure,1102,27.140
2,Action,1098,20.750
3,Drama,5479,14.970
4,Comedy,2418,14.170
5,Thriller/Suspense,1186,8.330
6,Horror,716,5.650
7,Romantic Comedy,630,4.410
8,Musical,201,1.810
9,Documentary,2415,1.060
10,Black Comedy,213,0.920
